"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Madagascar","Mahajanga","—","+261","20"
"Madagascar","Antsirabe","—","+261","33"
"Malawi","Lilongwe","Capital","+265","1"
"Malawi","Blantyre","—","+265","2"
"Malawi","Mzuzu","—","+265","3"
"Malawi","Zomba","—","+265","2"
"Mauritius","—","—","+230","—"
"Mozambique","Maputo","Capital","+258","21"
"Mozambique","Matola","—","+258","27"
"Mozambique","Beira","—","+258","82"
"Mozambique","Nampula","—","+258","84"
"Mozambique","Chimoio","—","+258","33"
"Mozambique","Tete","—","+258","85"
"Mozambique","Quelimane","—","+258","84"
"Mozambique","Nacala","—","+258","88"
"Mozambique","Pemba","—","+258","88"
"Rwanda","Kigali","Capital","+250","2"
"Rwanda","Butare","—","+250","25"
"Rwanda","Gitarama","—","+250","26"
"Rwanda","Rubavu","—","+250","58"
"Rwanda","Kayonza","—","+250","75"
"Seychelles","—","—","+248","—"
"Somalia","—","—","+252","—"
"South Sudan","Juba","Capital","+211","4"
"Tanzania","Dar es Salaam","Capital","+255","22"
"Tanzania","Arusha","—","+255","23"
"Tanzania","Mwanza","—","+255","24"
"Tanzania","Dodoma","—","+255","26"
"Uganda","Kampala","Capital","+256","41"
"Uganda","Entebbe","—","+256","42"
"Uganda","Gulu","—","+256","43"
"Uganda","Lira","—","+256","75"
"Uganda","Mbale","—","+256","45"
"Uganda","Jinja","—","+256","41"
"Uganda","Masaka","—","+256","41"
"Uganda","Mbarara","—","+256","43"
"Zambia","Lusaka","Capital","+260","21"
"Zambia","Kitwe","—","+260","22"
"Zambia","Ndola","—","+260","23"
"Zambia","Kabwe","—","+260","22"
"Zambia","Livingstone","—","+260","65"
"Zambia","Chingola","—","+260","24"
"Zambia","Mufulira","—","+260","24"
"Zambia","Mazabuka","—","+260","22"
"Zambia","Solwezi","—","+260","25"
"Zambia","Kafue","—","+260","21"
"Zimbabwe","Harare","Capital","+263","24"
"Zimbabwe","Bulawayo","—","+263","27"
"Zimbabwe","Mutare","—","+263","44"
"Zimbabwe","Gweru","—","+263","22"
"Zimbabwe","Kwekwe","—","+263","24"
"Zimbabwe","Chitungwiza","—","+263","24"
"Zimbabwe","Masvingo","—","+263","35"
"Zimbabwe","Gokwe","—","+263","24"
"Zimbabwe","Zvishavane","—","+263","35"
"Benin","Cotonou","Capital","+229","21"
"Benin","Porto-Novo","—","+229","25"
"Benin","Parakou","—","+229","26"
"Burkina Faso","Ouagadougou","Capital","+226","20"
"Burkina Faso","Bobo-Dioulasso","—","+226","30"
"Burkina Faso","Koudougou","—","+226","25"
"Burkina Faso","Banfora","—","+226","25"
"Cape Verde","—","—","+238","—"
"Côte d'Ivoire","Abidjan","Capital","+225","20"
"Côte d'Ivoire","Bouaké","—","+225","21"
"Côte d'Ivoire","Yamoussoukro","—","+225","24"
"Côte d'Ivoire","Daloa","—","+225","25"
"Côte d'Ivoire","San Pedro","—","+225","28"
"Gambia","—","—","+220","—"
"Ghana","Accra","Capital","+233","30"
"Ghana","Kumasi","—","+233","34"
"Ghana","Tamale","—","+233","36"
"Ghana","Sekondi-Takoradi","—","+233","54"
"Ghana","Takoradi","—","+233","54"
"Guinea","Conakry","Capital","+224","20"
"Guinea","Nzérékoré","—","+224","21"
"Guinea","Kankan","—","+224","22"
"Guinea-Bissau","—","—","+245","—"
"Liberia","Monrovia","Capital","+231","21"
"Liberia","Gbarnga","—","+231","22"
"Liberia","Glu","—","+231","22"
"Liberia","Bensonville","—","+231","22"
"Mali","Bamako","Capital","+223","20"
"Mali","Ségou","—","+223","21"
"Mali","Tombouctou","—","+223","31"
"Mali","Koulikoro","—","+223","23"
"Mali","Kayes","—","+223","20"
"Mali","Gao","—","+223","25"
"Mauritania","—","—","+222","—"
"Mauritania","Nouakchott","—","+222","—"
"Niger","Niamey","Capital","+227","20"
"Niger","Maradi","—","+227","21"
"Niger","Zinder","—","+227","22"
"Niger","Tahoua","—","+227","23"
"Niger","Agadez","—","+227","24"
"Niger","Diffa","—","+227","25"
"Niger","Dosso","—","+227","26"
"Niger","Tillabéri","—","+227","27"
"Niger","Birni-N'Konni","—","+227","28"
"Nigeria","Lagos","Capital","+234","1,9"
"Nigeria","Abuja","—","+234","9"
"Nigeria","Port Harcourt","—","+234","81"
"Nigeria","Benin City","—","+234","81"
"Nigeria","Kano","—","+234","704"
"Nigeria","Ibadan","—","+234","80"
"Nigeria","Enugu","—","+234","803"
"Nigeria","Kaduna","—","+234","812"
"Nigeria","Maiduguri","—","+234","814"
"Nigeria","Sokoto","—","+234","815"
"Nigeria","Ilorin","—","+234","803"
"Nigeria","Abeokuta","—","+234","803"
"Nigeria","Ogun","—","+234","803"
"Nigeria","Oyo","—","+234","803"
"Nigeria","Bauchi","—","+234","814"
"Nigeria","Katsina","—","+234","815"
"Nigeria","Warri","—","+234","809"
"Senegal","Dakar","Capital","+221","33"
"Senegal","Thies","—","+221","34"
"Senegal","Saint-Louis","—","+221","35"
"Senegal","Touba","—","+221","37"
"Senegal","Ziguinchor","—","+221","34"
"Sierra Leone","—","—","+232","—"
"Togo","Lomé","Capital","+228","21"
"Angola","Luanda","Capital","+244","91"
"Angola","Huambo","—","+244","93"
"Angola","Lobito","—","+244","94"
"Angola","Benguela","—","+244","93"
"Cameroon","Douala","Capital","+237","2"
"Cameroon","Yaoundé","—","+237","3"
"Cameroon","Bamenda","—","+237","6"
"Cameroon","Garoua","—","+237","3"
"Cameroon","Ngaoundéré","—","+237","6"
"Central African Republic","Bangui","Capital","+236","22"
"Central African Republic","Bimbo","—","+236","23"
"Chad","N'Djamena","Capital","+235","71"
"Chad","Moundou","—","+235","72"
"Chad","Sarh","—","+235","73"
"Chad","Abéché","—","+235","74"
"Chad","Mao","—","+235","75"
"Republic of the Congo","Brazzaville","Capital","+242","1"
"Republic of the Congo","Pointe-Noire","—","+242","2"
"Republic of the Congo","Dolisie","—","+242","3"
"Republic of the Congo","Nkayi","—","+242","4"
"Democratic Republic of the Congo","Kinshasa","Capital","+243","81,82"
"Democratic Republic of the Congo","Lubumbashi","—","+243","82"
"Democratic Republic of the Congo","Goma","—","+243","82"
"Democratic Republic of the Congo","Bukavu","—","+243","83"
"Democratic Republic of the Congo","Kisangani","—","+243","86"
"Equatorial Guinea","Libreville","Capital","+240","—"
"Gabon","Libreville","Capital","+241","1"
"Gabon","Port-Gentil","—","+241","2"
"Gabon","Franceville","—","+241","3"
"Gabon","Oyem","—","+241","4"
"Sao Tome and Principe","São Tomé","Capital","+239","—"
"South Africa","Gauteng","Johannesburg","+27","11,12,13"
"South Africa","Western Cape","Cape Town","+27","21,22"
"South Africa","KwaZulu-Natal","Durban","+27","31,32"
"South Africa","Eastern Cape","Port Elizabeth","+27","41"
"South Africa","Free State","Bloemfontein","+27","51"
"South Africa","Limpopo","Polokwane","+27","15"
"South Africa","Mpumalanga","Nelspruit","+27","13"
"South Africa","Northern Cape","Kimberley","+27","54"
"South Africa","North West","Mahikeng","+27","18"
