"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Brazil","São José do Rio Preto","São José do Rio Preto","+55","17"
"Brazil","Joinville","Joinville","+55","47"
"Brazil","Floresta","Floresta","+55","11"
"Brazil","Natal","Natal","+55","84"
"Brazil","Petrópolis","Petrópolis","+55","24"
"Brazil","Volta Redonda","Volta Redonda","+55","24"
"Brazil","Bauru","Bauru","+55","14"
"Brazil","Serra","Serra","+55","27"
"Brazil","Ananindeua","Ananindeua","+55","91"
"Brazil","Santos","Santos","+55","21"
"Brazil","Núcleo Bandeirante","Núcleo Bandeirante","+55","21"
"Brazil","Recife","Recife","+55","81"
"Brazil","Porto Velho","Porto Velho","+55","69"
"Brazil","Maceió","Maceió","+55","82"
"Brazil","Teresina","Teresina","+55","86"
"Brazil","Rio Branco","Rio Branco","+55","68"
"Brazil","Palmas","Palmas","+55","63"
"Brazil","Cuiabá","Cuiabá","+55","65"
"Brazil","Boa Vista","Boa Vista","+55","95"
"Brazil","Macapá","Macapá","+55","96"
"Brazil","Manaus","Manaus","+55","92"
"Brazil","Rio Grande","Rio Grande","+55","53"
"Brazil","Boa Vista","Boa Vista","+55","95"
"Brazil","Belo Horizonte","Belo Horizonte","+55","31"
"Brazil","Goiânia","Goiânia","+55","62"
"Brazil","Cascavel","Cascavel","+55","45"
"Brazil","Ponta Grossa","Ponta Grossa","+55","43"
"Brazil","São José dos Pinhais","São José dos Pinhais","+55","41"
"Brazil","Juazeiro do Norte","Juazeiro do Norte","+55","88"
"Brazil","Caxias do Sul","Caxias do Sul","+55","54"
"Brazil","Londrina","Londrina","+55","43"
"Brazil","Timon","Timon","+55","85"
"Brazil","Sorocaba","Sorocaba","+55","15"
"Brazil","Niterói","Niterói","+55","21"
"Brazil","Campinas","Campinas","+55","19"
"Brazil","São Bernardo do Campo","São Bernardo do Campo","+55","11"
"Brazil","Santos","Santos","+55","21"
"Brazil","Recife","Recife","+55","81"
"Brazil","Natal","Natal","+55","84"
"Brazil","Campo Grande","Campo Grande","+55","67"
"Brazil","Uberlândia","Uberlândia","+55","34"
"Brazil","Joinville","Joinville","+55","47"
"Brazil","Florianópolis","Florianópolis","+55","48"
"Brazil","Porto Alegre","Porto Alegre","+55","51"
"Brazil","Brasília","Brasília","+55","61"
"Brazil","Rio de Janeiro","Rio de Janeiro","+55","21"
"Brazil","São Paulo","São Paulo","+55","11"
"Brazil","Fortaleza","Fortaleza","+55","85"
"Brazil","Belo Horizonte","Belo Horizonte","+55","31"
"Brazil","Salvador","Salvador","+55","71"
"Brazil","Recife","Recife","+55","81"
"Brazil","Curitiba","Curitiba","+55","41"
"Brazil","Manaus","Manaus","+55","92"
"Brazil","Belém","Belém","+55","91"
"Brazil","Porto Alegre","Porto Alegre","+55","51"
"Brazil","Rio Grande","Rio Grande","+55","53"
"Brazil","João Pessoa","João Pessoa","+55","83"
"Brazil","Florianópolis","Florianópolis","+55","48"
"Brazil","Campinas","Campinas","+55","19"
"Brazil","Vitória","Vitória","+55","27"
"Brazil","Goiânia","Goiânia","+55","62"
"Brazil","São Luís","São Luís","+55","98"
"Brazil","Natal","Natal","+55","84"
"Brazil","Teresina","Teresina","+55","86"
"Brazil","Campo Grande","Campo Grande","+55","67"
"Mexico","Mexico City","Capital","+52","55"
"Mexico","Guadalajara","Jalisco","+52","33"
"Mexico","Monterrey","Nuevo León","+52","81"
"Mexico","Tijuana","Baja California","+52","664"
"Mexico","Puebla","Puebla","+52","222"
"Mexico","León","Guanajuato","+52","477"
"Mexico","Ciudad Juárez","Chihuahua","+52","656"
"Mexico","Torreón","Coahuila","+52","871"
"Mexico","Querétaro","Querétaro","+52","442"
"Mexico","San Luis Potosí","San Luis Potosí","+52","444"
"Mexico","Mérida","Yucatán","+52","999"
"Mexico","Culiacán","Sinaloa","+52","667"
"Mexico","Morelia","Michoacán","+52","443"
"Mexico","Aguascalientes","Aguascalientes","+52","449"
"Mexico","Saltillo","Coahuila","+52","844"
"Mexico","Durango","Durango","+52","618"
"Mexico","Toluca","Estado de México","+52","722"
"Mexico","Chihuahua","Chihuahua","+52","614"
"Mexico","Hermosillo","Sonora","+52","662"
"Mexico","Reynosa","Tamaulipas","+52","868"
"Mexico","Zacatecas","Zacatecas","+52","492"
"Mexico","Matamoros","Tamaulipas","+52","873"
"Mexico","Tuxtla Gutiérrez","Chiapas","+52","961"
"Mexico","Saltillo","Coahuila","+52","844"
"Mexico","Tampico","Tamaulipas","+52","834"
"Mexico","Veracruz","Veracruz","+52","229"
"Mexico","Querétaro","Querétaro","+52","442"
"Mexico","Guadalajara","Jalisco","+52","33"
"Mexico","Monterrey","Nuevo León","+52","81"
"Mexico","Cancún","Quintana Roo","+52","998"
"Mexico","Acapulco","Guerrero","+52","744"
"Mexico","Ciudad Obregón","Sonora","+52","662"
"Mexico","Los Mochis","Sinaloa","+52","667"
"Mexico","Chilpancingo","Guerrero","+52","750"
"Mexico","Cuernavaca","Morelos","+52","777"
"Mexico","Toluca","Estado de México","+52","722"
"Mexico","Ciudad Victoria","Tamaulipas","+52","872"
"Mexico","Irapuato","Guanajuato","+52","462"
"Mexico","Xalapa","Veracruz","+52","228"
"Mexico","Aguascalientes","Aguascalientes","+52","449"
"Mexico","Oaxaca","Oaxaca","+52","951"
"Mexico","San Luis Potosí","San Luis Potosí","+52","444"
"Puerto Rico","—","San Juan","+1","787,939"
"Dominican Republic","—","—","+1","809,829,849"
"Cuba","Havana","Capital","+53","7"
"Cuba","Santiago de Cuba","Santiago de Cuba","+53","22"
"Cuba","Camagüey","Camagüey","+53","24"
"Cuba","Holguín","Holguín","+53","24"
"Cuba","Guantánamo","Guantánamo","+53","24"
"Cuba","Santiago de Cuba","Santiago de Cuba","+53","22"
"Cuba","Pinar del Río","Pinar del Río","+53","24"
"Cuba","Matanzas","Matanzas","+53","24"
"Cuba","Ciego de Ávila","Ciego de Ávila","+53","24"
"Cuba","Las Tunas","Las Tunas","+53","24"
"Cuba","Granma","Bayamo","+53","24"
"Cuba","Villa Clara","Santa Clara","+53","24"
"Chile","Santiago","Capital","+56","2"
"Chile","Valparaíso","Valparaíso","+56","32"
"Chile","Concepción","Biobío","+56","41"
"Chile","Antofagasta","Antofagasta","+56","55"
"Chile","La Serena","Coquimbo","+56","51"
"Chile","Temuco","Araucanía","+56","45"
"Chile","Rancagua","O'Higgins","+56","72"
"Chile","Iquique","Tarapacá","+56","58"
"Chile","Puerto Montt","Los Lagos","+56","65"
"Chile","Arica","Arica y Parinacota","+56","58"
"Chile","Copiapó","Atacama","+56","53"
"Chile","Talca","Maule","+56","71"
"Chile","Concepción","Biobío","+56","41"
"Chile","Puerto Montt","Los Lagos","+56","65"
"Chile","Temuco","Araucanía","+56","45"
"Chile","La Serena","Coquimbo","+56","51"
"Chile","Iquique","Tarapacá","+56","58"
"Chile","Valdivia","Los Ríos","+56","63"
"Chile","Vallenar","Atacama","+56","53"
"Colombia","Bogotá (Distrito Capital)","Capital","+57","1"
"Colombia","Medellín (Antioquia)","Medellín","+57","4"
"Colombia","Cali (Valle del Cauca)","Cali","+57","2"
"Colombia","Barranquilla (Atlántico)","Barranquilla","+57","5"
"Colombia","Cartagena (Bolívar)","Cartagena","+57","5"
"Colombia","Cúcuta (Norte de Santander)","Cúcuta","+57","7"
"Colombia","Bucaramanga (Santander)","Bucaramanga","+57","6"
"Colombia","Pereira (Risaralda)","Pereira","+57","6"
"Colombia","Manizales (Caldas)","Manizales","+57","6"
"Colombia","Santa Marta (Magdalena)","Santa Marta","+57","5"
"Colombia","Valledupar (Cesar)","Valledupar","+57","5"
"Colombia","Ibagué (Tolima)","Ibagué","+57","8"
"Colombia","Villavicencio (Meta)","Villavicencio","+57","8"
"Colombia","Pasto (Nariño)","Pasto","+57","2"
"Colombia","Armenia (Quindío)","Armenia","+57","6"
"Colombia","Sincelejo (Sucre)","Sincelejo","+57","5"
"Colombia","Montería (Córdoba)","Montería","+57","4"
"Colombia","Tunja (Boyacá)","Tunja","+57","8"
"Colombia","Neiva (Huila)","Neiva","+57","8"
"Colombia","Popayán (Cauca)","Popayán","+57","2"
"Colombia","Florencia (Caquetá)","Florencia","+57","8"
"Colombia","San Andrés","San Andrés","+57","6"
"Venezuela","Caracas","Capital","+58","212"
"Venezuela","Maracaibo","Zulia","+58","261"
"Venezuela","Valencia","Carabobo","+58","241"
"Venezuela","Barquisimeto","Lara","+58","264"
"Venezuela","Ciudad Guayana","Bolívar","+58","264"
"Venezuela","Mérida","Mérida","+58","274"
"Venezuela","Barcelona","Anzoátegui","+58","414"
"Venezuela","Maracay","Aragua","+58","241"
"Venezuela","Puerto La Cruz","Anzoátegui","+58","414"
"Venezuela","Coro","Falcón","+58","263"
"Venezuela","Valera","Trujillo","+58","263"
"Venezuela","San Cristóbal","Táchira","+58","276"
"Venezuela","Barinas","Barinas","+58","272"
"Venezuela","Cumaná","Sucre","+58","272"
"Venezuela","Carúpano","Sucre","+58","272"
"Venezuela","La Guaira","Miranda","+58","212"
"Venezuela","Los Teques","Miranda","+58","212"
"Venezuela","Puerto Cabello","Carabobo","+58","241"
"Venezuela","Maturín","Monagas","+58","295"
"Venezuela","Valencia","Carabobo","+58","241"
"Venezuela","Barinas","Barinas","+58","272"
"Venezuela","Maracay","Aragua","+58","241"
"Venezuela","Coro","Falcón","+58","263"
"Venezuela","San Cristóbal","Táchira","+58","276"
"Venezuela","Mérida","Mérida","+58","274"
"Venezuela","Carúpano","Sucre","+58","272"
"Venezuela","Cumaná","Sucre","+58","272"
"Venezuela","La Guaira","Miranda","+58","212"
"Venezuela","Los Teques","Miranda","+58","212"
"Venezuela","Puerto Cabello","Carabobo","+58","241"
"Venezuela","Maturín","Monagas","+58","295"
"Ecuador","Quito","Capital","+593","2"
"Ecuador","Guayaquil","Guayas","+593","4"
"Ecuador","Cuenca","Azuay","+593","7"
"Ecuador","Santo Domingo","Los Ríos","+593","6"
"Ecuador","Machala","El Oro","+593","7"
"Ecuador","Ambato","Tungurahua","+593","7"
"Ecuador","Loja","Loja","+593","7"
"Ecuador","Manta","Manabí","+593","7"
"Peru","Lima","Capital","+51","1"
"Peru","Arequipa","Arequipa","+51","54"
"Peru","Trujillo","La Libertad","+51","44"
"Peru","Chiclayo","Lambayeque","+51","74"
"Peru","Piura","Piura","+51","73"
"Peru","Cusco","Cusco","+51","84"
"Peru","Iquitos","Loreto","+51","95"
"Peru","Chimbote","Ancash","+51","43"
"Peru","Huancayo","Junín","+51","63"
"Peru","Tacna","Tacna","+51","52"
"Peru","Puno","Puno","+51","63"
"Peru","Ica","Ica","+51","56"
"Peru","Trujillo","La Libertad","+51","44"
"Peru","Huánuco","Huánuco","+51","62"
"Peru","Juliaca","Puno","+51","63"
"Peru","Huacho","Lima","+51","1"
"Peru","Tumbes","Tumbes","+51","76"
"Peru","Tarapoto","San Martín","+51","73"
"Peru","Pisco","Ica","+51","56"
"Peru","Nazca","Ica","+51","56"
"Peru","Cajamarca","Cajamarca","+51","75"
"Peru","Ica","Ica","+51","56"
"Peru","Huacho","Lima","+51","1"
"Peru","Tarapoto","San Martín","+51","73"
"Peru","Pisco","Ica","+51","56"
"Peru","Nazca","Ica","+51","56"
"Peru","Cajamarca","Cajamarca","+51","75"
"Paraguay","Asunción","Capital","+595","21"
"Paraguay","Ciudad del Este","Alto Paraná","+595","24"
"Paraguay","Encarnación","Misiones","+595","24"
"Paraguay","Capiatá","Central Department","+595","21"
"Paraguay","Lambare","Central Department","+595","21"
"Paraguay","Fernando de la Mora","Central Department","+595","21"
"Paraguay","Luque","Central Department","+595","21"
"Paraguay","San Lorenzo","Central Department","+595","21"
"Paraguay","Villa Elisa","Central Department","+595","21"
"Paraguay","Pedro Juan Caballero","Presidente Hayes","+595","23"
"Paraguay","Villeta","Central Department","+595","21"
