"Country","Subdivision","PrimaryCityOrNote","CountryCode","LocalAreaCode"
"Romania","Bucharest","Capital","+40","21"
"Romania","Cluj-Napoca","Cluj-Napoca","+40","264"
"Romania","Timișoara","Timișoara","+40","256"
"Romania","Iași","Iași","+40","232"
"Romania","Constanța","Constanța","+40","281"
"Romania","Craiova","Craiova","+40","252"
"Romania","Brașov","Brașov","+40","268"
"Romania","Galați","Galați","+40","235"
"Romania","Oradea","Oradea","+40","257"
"Serbia","Belgrade","Capital","+381","11"
"Serbia","Novi Sad","Novi Sad","+381","21"
"Serbia","Niš","Niš","+381","18"
"Serbia","Kragujevac","Kragujevac","+381","34"
"Serbia","Subotica","Subotica","+381","24"
"Serbia","Užice","Užice","+381","27"
"Serbia","Valjevo","Valjevo","+381","35"
"Serbia","Čačak","Čačak","+381","34"
"Serbia","Kruševac","Kruševac","+381","36"
"Serbia","Sombor","Sombor","+381","25"
"Slovenia","Ljubljana","Capital","+386","1"
"Slovenia","Maribor","Maribor","+386","2"
"Slovenia","Celje","Celje","+386","3"
"Slovenia","Kranj","Kranj","+386","4"
"Slovenia","Koper","Koper","+386","5"
"Slovenia","Velenje","Velenje","+386","6"
"Slovenia","Novo Mesto","Novo Mesto","+386","7"
"Albania","Kukës","Kukës","+355","27"
"Albania","Korçë","Korçë","+355","85"
"Albania","Lezhë","Lezhë","+355","26"
"Albania","Gjirokastër","Gjirokastër","+355","83"
"Bosnia and Herzegovina","Mostar","Mostar","+387","36"
"Bulgaria","Varna","Varna","+359","52"
"Croatia","Pula","Pula","+385","52"
"Greece","Thessaly","Volos","+30","242"
"Serbia","Novi Pazar","Novi Pazar","+381","35"
"Slovenia","Maribor","Maribor","+386","2"
"Romania","Cluj-Napoca","Cluj-Napoca","+40","264"
"Serbia","Subotica","Subotica","+381","24"
"Slovenia","Celje","Celje","+386","3"
"Romania","Timișoara","Timișoara","+40","256"
"Slovenia","Koper","Koper","+386","5"
"Romania","Iași","Iași","+40","232"
"Serbia","Niš","Niš","+381","18"
"Romania","Constanța","Constanța","+40","281"
"Serbia","Belgrade","Capital","+381","11"
"Serbia","Novi Sad","Novi Sad","+381","21"
"Slovenia","Ljubljana","Capital","+386","1"
"Romania","Bucharest","Capital","+40","21"
"Romania","Craiova","Craiova","+40","252"
"Romania","Brașov","Brașov","+40","268"
"Romania","Galați","Galați","+40","235"
"Romania","Oradea","Oradea","+40","257"
"Serbia","Kragujevac","Kragujevac","+381","34"
"Serbia","Užice","Užice","+381","27"
"Slovenia","Velenje","Velenje","+386","6"
"Romania","Cluj-Napoca","Cluj-Napoca","+40","264"
"Slovenia","Novo Mesto","Novo Mesto","+386","7"
"Serbia","Čačak","Čačak","+381","34"
"Serbia","Kruševac","Kruševac","+381","36"
"Serbia","Sombor","Sombor","+381","25"
"Slovenia","Kranj","Kranj","+386","4"
"Romania","Timișoara","Timișoara","+40","256"
"Romania","Iași","Iași","+40","232"
"Romania","Constanța","Constanța","+40","281"
"Romania","Craiova","Craiova","+40","252"
"Romania","Brașov","Brașov","+40","268"
"Romania","Galați","Galați","+40","235"
"Romania","Oradea","Oradea","+40","257"
"Romania","Bucharest","Capital","+40","21"
